episode,epsilon,moves,return,won,replay_size,loss,rolling_success_100
73,0.924,27,-16.0,True,1952,0.004407795146107674,0.2191780821917808
74,0.92294,20,-9.0,True,1972,0.0023912980686873198,0.22972972972972974
75,0.92189,12,-21.0,False,1984,0.0046288627199828625,0.22666666666666666
76,0.92083,50,-50.0,False,2034,0.0029266627971082926,0.2236842105263158
77,0.91978,11,-20.0,False,2045,0.005137693136930466,0.22077922077922077
78,0.91872,50,-50.0,False,2095,0.009912536479532719,0.21794871794871795
79,0.91767,6,-15.0,False,2101,0.005020780488848686,0.21518987341772153
80,0.91661,50,-50.0,False,2151,0.0026448415592312813,0.2125
81,0.91556,14,-23.0,False,2165,0.0039011863991618156,0.20987654320987653
82,0.9145,19,-28.0,False,2184,0.00275034224614501,0.2073170731707317
83,0.91344,3,-12.0,False,2187,0.0053672087378799915,0.20481927710843373
84,0.91239,50,-50.0,False,2237,0.006883119232952595,0.20238095238095238
85,0.91133,4,-13.0,False,2241,0.0068239797838032246,0.2
86,0.91028,27,-16.0,True,2268,0.006198865361511707,0.20930232558139536
87,0.90922,23,-32.0,False,2291,0.007595369592308998,0.20689655172413793
88,0.90817,37,-46.0,False,2328,0.004717384465038776,0.20454545454545456
89,0.90711,18,-27.0,False,2346,0.005415198393166065,0.20224719101123595
