episode,epsilon,moves,raw_return,train_return,won,replay_size,updates,loss,lr,rolling_success_100
142,0.96173,34,-23.0,-22.4,True,1944,1433,0.32466062903404236,0.0007993230943545266,0.5
143,0.96146,12,-21.0,-21.2,False,1956,1445,0.3301660120487213,0.000799309354949895,0.5
144,0.96119,2,-11.0,-10.8,False,1958,1447,0.2858492434024811,0.000799295477643462,0.5
145,0.96091,3,8.0,8.2,True,1961,1450,0.22769980132579803,0.0007992814624407063,0.5
146,0.96064,17,-26.0,-25.6,False,1978,1467,0.30696895718574524,0.0007992673093471608,0.49
147,0.96037,30,-39.0,-38.4,False,2008,1497,0.30704766511917114,0.0007992530183684129,0.49
148,0.9601,1,-10.0,-10.0,False,2009,1498,0.22042451798915863,0.0007992385895101045,0.49
149,0.95983,7,4.0,4.0,True,2016,1505,0.8789429068565369,0.0007992240227779317,0.49
150,0.95956,15,-4.0,-3.2,True,2031,1520,0.7815291881561279,0.0007992093181776454,0.5
151,0.95929,21,-30.0,-29.8,False,2052,1541,0.5750372409820557,0.0007991944757150507,0.49
152,0.95901,15,-4.0,-3.6,True,2067,1556,0.5254256725311279,0.0007991794953960073,0.49
153,0.95874,45,-45.0,-45.2,False,2112,1601,0.3754500448703766,0.0007991643772264289,0.48
154,0.95847,45,-45.0,-45.0,False,2157,1646,0.2859269976615906,0.0007991491212122841,0.48
155,0.9582,23,-32.0,-32.0,False,2180,1669,0.23600097000598907,0.0007991337273595958,0.47
156,0.95793,1,-10.0,-10.0,False,2181,1670,0.17143136262893677,0.0007991181956744409,0.47
157,0.95766,8,3.0,3.4,True,2189,1678,0.16847340762615204,0.0007991025261629514,0.48
158,0.95739,45,-45.0,-44.6,False,2234,1723,0.23326270282268524,0.0007990867188313133,0.48
159,0.95711,2,9.0,9.2,True,2236,1725,0.25842371582984924,0.0007990707736857671,0.48
160,0.95684,4,7.0,7.0,True,2240,1729,0.24211658537387848,0.0007990546907326076,0.49
161,0.95657,45,-45.0,-45.4,False,2285,1774,0.4410559833049774,0.0007990384699781843,0.49
162,0.9563,3,8.0,8.4,True,2288,1777,0.40088632702827454,0.0007990221114289006,0.49
